"Designator","Val","Package","Mid X","Mid Y","Rot","Side"
"BZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ_reversible",85.700000,-50.500000,180.000000,bottom
"C1","0.1uF","C_0805_2012Metric",151.867689,-81.957190,-90.000000,bottom
"D1","1N4148W","D_SOD-123",48.802064,-75.682190,90.000000,bottom
"D2","1N4148W","D_SOD-123",67.852064,-75.682190,90.000000,bottom
"D3","1N4148W","D_SOD-123",70.233314,-75.682190,90.000000,bottom
"D4","1N4148W","D_SOD-123",105.952064,-75.682190,90.000000,bottom
"D5","1N4148W","D_SOD-123",108.333314,-75.682190,90.000000,bottom
"D6","1N4148W","D_SOD-123",127.383314,-75.682190,90.000000,bottom
"D7","1N4148W","D_SOD-123",163.102064,-75.682190,90.000000,bottom
"D8","1N4148W","D_SOD-123",182.152064,-75.682190,90.000000,bottom
"D9","1N4148W","D_SOD-123",184.533314,-75.682190,90.000000,bottom
"D10","1N4148W","D_SOD-123",220.252064,-75.682190,90.000000,bottom
"D11","1N4148W","D_SOD-123",222.633314,-75.682190,90.000000,bottom
"D12","1N4148W","D_SOD-123",241.683314,-75.682190,90.000000,bottom
"D13","1N4148W","D_SOD-123",48.802064,-94.732190,90.000000,bottom
"D14","1N4148W","D_SOD-123",67.852064,-94.732190,90.000000,bottom
"D15","1N4148W","D_SOD-123",70.233314,-94.732190,90.000000,bottom
"D16","1N4148W","D_SOD-123",105.952064,-94.732190,90.000000,bottom
"D17","1N4148W","D_SOD-123",108.333314,-94.732190,90.000000,bottom
"D18","1N4148W","D_SOD-123",144.052064,-94.732190,90.000000,bottom
"D19","1N4148W","D_SOD-123",146.433314,-94.732190,90.000000,bottom
"D20","1N4148W","D_SOD-123",182.152064,-94.732190,90.000000,bottom
"D21","1N4148W","D_SOD-123",184.533314,-94.732190,90.000000,bottom
"D22","1N4148W","D_SOD-123",220.252064,-94.732190,90.000000,bottom
"D23","1N4148W","D_SOD-123",222.633314,-94.732190,90.000000,bottom
"D24","1N4148W","D_SOD-123",241.683314,-94.732190,90.000000,bottom
"D25","1N4148W","D_SOD-123",48.802064,-113.782190,90.000000,bottom
"D26","1N4148W","D_SOD-123",67.852064,-113.782190,90.000000,bottom
"D27","1N4148W","D_SOD-123",70.233314,-113.782190,90.000000,bottom
"D28","1N4148W","D_SOD-123",105.952064,-113.782190,90.000000,bottom
"D29","1N4148W","D_SOD-123",108.333314,-113.782190,90.000000,bottom
"D30","1N4148W","D_SOD-123",144.052064,-113.782190,90.000000,bottom
"D31","1N4148W","D_SOD-123",146.433314,-113.782190,90.000000,bottom
"D32","1N4148W","D_SOD-123",182.152064,-113.782190,90.000000,bottom
"D33","1N4148W","D_SOD-123",184.533314,-113.782190,90.000000,bottom
"D34","1N4148W","D_SOD-123",220.252064,-113.782190,90.000000,bottom
"D35","1N4148W","D_SOD-123",222.633314,-113.782190,90.000000,bottom
"D36","1N4148W","D_SOD-123",241.683314,-113.782190,90.000000,bottom
"D37","1N4148W","D_SOD-123",48.802064,-132.832190,90.000000,bottom
"D38","1N4148W","D_SOD-123",59.517689,-132.832190,90.000000,bottom
"D39","1N4148W","D_SOD-123",46.350000,-53.307190,180.000000,bottom
"D40","1N4148W","D_SOD-123",78.567689,-132.832190,90.000000,bottom
"D41","1N4148W","D_SOD-123",134.527064,-137.594690,90.000000,bottom
"D42","1N4148W","D_SOD-123",136.908314,-137.594690,90.000000,bottom
"D43","1N4148W","D_SOD-123",153.577064,-137.594690,90.000000,bottom
"D44","1N4148W","D_SOD-123",155.958314,-137.594690,90.000000,bottom
"D45","1N4148W","D_SOD-123",211.917689,-132.832190,90.000000,bottom
"D46","1N4148W","D_SOD-123",230.967689,-132.832190,90.000000,bottom
"D47","1N4148W","D_SOD-123",250.017689,-132.832190,90.000000,bottom
"R1","10k","R_0805_2012Metric",144.267689,-72.857190,-90.000000,bottom
"R2","10k","R_0805_2012Metric",157.617689,-59.557190,90.000000,bottom
"R3","10k","R_0805_2012Metric",157.617689,-55.307190,-90.000000,bottom
"SW13","ON_OFF","switch_MSK-12C02_smd",124.967689,-45.944690,-90.000000,bottom
"U1","PCA9555PW","TSSOP-24_4.4x7.8mm_P0.65mm",145.117689,-79.307190,0.000000,bottom
"U2","xiao-ble","xiao-ble-smd-cutout",145.217689,-53.482190,180.000000,bottom
